,Video ID,Video URL,Title,Published Time,Video Length,View Count
0,SInTre-iJAY,https://www.youtube.com/watch?v=SInTre-iJAY,"Wow, Incredible Folding Table!",5 years ago,0:35,"6,689,406 views"
1,mDLgwKBGlKA,https://www.youtube.com/watch?v=mDLgwKBGlKA,Pongo Portable Ping-Pong Set,8 years ago,1:17,"3,234,828 views"
2,m4ulshvXxkE,https://www.youtube.com/watch?v=m4ulshvXxkE,Making a Portable Workshop - Part 1,4 years ago,8:34,"2,351,674 views"
3,g1bZUQQwF-A,https://www.youtube.com/watch?v=g1bZUQQwF-A,Folding table,1 month ago,25:04,"2,011,833 views"
4,GZMeZv8u8uM,https://www.youtube.com/watch?v=GZMeZv8u8uM,How To Make Folding Table at Home | Building a Wall Mounted Folding Desk | DIY table,2 years ago,4:18,"1,557,828 views"
5,5oi5BTKl2hY,https://www.youtube.com/watch?v=5oi5BTKl2hY,Best Portable Job Site Table Saw - Head-2-Head,2 years ago,25:38,"1,434,621 views"
6,KbKm21pDhIw,https://www.youtube.com/watch?v=KbKm21pDhIw,How To Make Drill Powered Table Saw | Adjustable & Portable | Drill Machine Powerful Saw,3 years ago,11:18,"1,312,645 views"
7,jUNZVaGAE3E,https://www.youtube.com/watch?v=jUNZVaGAE3E,DIY Folding Mobile Workbench,2 years ago,9:52,"1,152,344 views"
8,Ip_tAR4hgPs,https://www.youtube.com/watch?v=Ip_tAR4hgPs,Folding Dinning Table (wall attached flexible dinning table) | Folding computer table |,1 year ago,1:06,"888,593 views"
9,-xHVPCrR7OU,https://www.youtube.com/watch?v=-xHVPCrR7OU,Quick and Easy Portable Router Table DIY,2 years ago,5:34,"792,187 views"
10,IbJaOn7K7bM,https://www.youtube.com/watch?v=IbJaOn7K7bM,Ultimate Welding Cart with Folding Table Extension,2 years ago,11:44,"749,938 views"
11,gOzc0GtVuZQ,https://www.youtube.com/watch?v=gOzc0GtVuZQ,DIY Table Saw portable - How to make a homemade Table Saw with spliter riving knife use Circular Saw,1 year ago,19:00,"669,378 views"
12,d755-uhFXCw,https://www.youtube.com/watch?v=d755-uhFXCw,"Play Ping Pong almost anywhere with this compact, portable Table Tennis Set",9 years ago,1:38,"668,420 views"
13,C5RzOv6c6sU,https://www.youtube.com/watch?v=C5RzOv6c6sU,Homemade portable 3 in 1 table saw with built in router and jigsaw table part 1,1 year ago,19:13,"584,328 views"
14,g66UhNaxivo,https://www.youtube.com/watch?v=g66UhNaxivo,Folding Outfeed Table For Table Saw,3 years ago,6:58,"540,300 views"
15,vhD5giZvULI,https://www.youtube.com/watch?v=vhD5giZvULI,How To Make A Folding Table,5 years ago,10:14,"515,300 views"
16,fICs3g71M9g,https://www.youtube.com/watch?v=fICs3g71M9g,Folding table saw stand,6 years ago,5:24,"454,533 views"
17,nxDl-o7vnIU,https://www.youtube.com/watch?v=nxDl-o7vnIU,scie circulaire sur table mobile PARKSIDE LIDL PMTS 210 A1 Portable Table Saw Mobile Tischkreissäge,8 months ago,10:08,"429,505 views"
18,sKNU-kpYveY,https://www.youtube.com/watch?v=sKNU-kpYveY,DeWalt DW745 Portable Table Saw,12 years ago,1:20,"421,689 views"
19,GE0-iB6Y7F8,https://www.youtube.com/watch?v=GE0-iB6Y7F8,DIY Portable Concrete Fire Pit | Modern Builds,2 years ago,7:18,"421,081 views"
